sampleId	analysising	hasAnalysis	fristAudit	secondAudit	terminate
Z1H	52	0	0	0	0
3038	0	3	0	0	0
3038	0	0	5	0	0
58	0	0	1	0	0
59	0	0	1	0	0
60	0	0	1	0	0
61	0	0	1	0	0
62	0	0	1	0	0
63	0	0	1	0	0
64	0	0	1	0	0
65	0	0	1	0	0
66	0	0	1	0	0
67	0	0	1	0	0
68	0	0	1	0	0
69	0	0	1	0	0
70	0	0	1	0	0
71	0	0	1	0	0
72	0	0	1	0	0
73	0	0	1	0	0
74	0	0	1	0	0
75	0	0	1	0	0
01G	0	0	0	35	0
02G	0	0	0	35	0
03G	0	0	0	35	0
04G	0	0	0	35	0
05G	0	0	0	35	0
06G	0	0	0	35	0
07G	0	0	0	35	0
1001	0	0	0	8	0
1002	0	0	0	6	0
1003	0	0	0	8	0
1004	0	0	0	6	0
1005	0	0	0	6	0
1006	0	0	0	6	0
1007	0	0	0	12	0
1008	0	0	0	6	0
1009	0	0	0	6	0
1010	0	0	0	12	0
1011	0	0	0	6	0
1012	0	0	0	8	0
1013	0	0	0	6	0
1014	0	0	0	6	0
1015	0	0	0	6	0
1016	0	0	0	6	0
1018	0	0	0	6	0
1019	0	0	0	6	0
1020	0	0	0	8	0
10A	0	0	0	29	0
10B	0	0	0	82	0
10H	0	0	0	30	0
2001	0	0	0	6	0
2002	0	0	0	8	0
2003	0	0	0	8	0
2004	0	0	0	6	0
2005	0	0	0	6	0
2006	0	0	0	8	0
2007	0	0	0	6	0
2008	0	0	0	6	0
2009	0	0	0	14	0
2010	0	0	0	6	0
2011	0	0	0	6	0
2012	0	0	0	6	0
2013	0	0	0	12	0
2015	0	0	0	6	0
2016-01-61	0	0	0	8	0
2016-01-62-1	0	0	0	29	0
2016-01-62-2	0	0	0	82	0
2016-01-62-3	0	0	0	36	0
2016-01-63-1	0	0	0	4	0
2016-01-63-2	0	0	0	4	0
2016-01-64-1	0	0	0	8	0
2016-01-64-2	0	0	0	8	0
2016-01-64-3	0	0	0	8	0
2016-01-65-1	0	0	0	8	0
2016-01-65-2	0	0	0	8	0
2016-01-65-3	0	0	0	8	0
2016-01-65-4	0	0	0	8	0
2016-01-66	0	0	0	7	0
2016-01-68	0	0	0	9	0
2016-06-27-1	0	0	0	3	0
2016-06-27-10	0	0	0	13	0
2016-06-27-11	0	0	0	2	0
2016-06-27-12	0	0	0	2	0
2016-06-27-2	0	0	0	13	0
2016-06-27-3	0	0	0	13	0
2016-06-27-4	0	0	0	13	0
2016-06-27-5	0	0	0	13	0
2016-06-27-6	0	0	0	13	0
2016-06-27-7	0	0	0	13	0
2016-06-27-8	0	0	0	13	0
2016-06-27-9	0	0	0	13	0
2016-06-28-1	0	0	0	3	0
2016-06-28-10	0	0	0	13	0
2016-06-28-11	0	0	0	2	0
2016-06-28-12	0	0	0	2	0
2016-06-28-2	0	0	0	13	0
2016-06-28-3	0	0	0	13	0
2016-06-28-4	0	0	0	13	0
2016-06-28-5	0	0	0	13	0
2016-06-28-6	0	0	0	13	0
2016-06-28-7	0	0	0	13	0
2016-06-28-8	0	0	0	13	0
2016-06-28-9	0	0	0	13	0
2016-06-29-1	0	0	0	3	0
2016-06-29-10	0	0	0	13	0
2016-06-29-11	0	0	0	2	0
2016-06-29-12	0	0	0	2	0
2016-06-29-2	0	0	0	13	0
2016-06-29-3	0	0	0	13	0
2016-06-29-4	0	0	0	13	0
2016-06-29-5	0	0	0	13	0
2016-06-29-6	0	0	0	13	0
2016-06-29-7	0	0	0	13	0
2016-06-29-8	0	0	0	13	0
2016-06-29-9	0	0	0	13	0
2016-06-30-1	0	0	0	3	0
2016-06-30-10	0	0	0	13	0
2016-06-30-11	0	0	0	2	0
2016-06-30-12	0	0	0	2	0
2016-06-30-2	0	0	0	13	0
2016-06-30-3	0	0	0	13	0
2016-06-30-4	0	0	0	13	0
2016-06-30-5	0	0	0	13	0
2016-06-30-6	0	0	0	13	0
2016-06-30-7	0	0	0	13	0
2016-06-30-8	0	0	0	13	0
2016-06-30-9	0	0	0	13	0
2016-06-31-11	0	0	0	2	0
2016-06-31-12	0	0	0	2	0
2016-06-31-13	0	0	0	2	0
2016-06-31-14	0	0	0	2	0
2016-06-32-1	0	0	0	3	0
2016-06-32-11	0	0	0	2	0
2016-06-32-12	0	0	0	2	0
2016-06-32-13	0	0	0	2	0
2016-06-32-14	0	0	0	2	0
2016-06-32-15	0	0	0	2	0
2016-06-32-16	0	0	0	2	0
2016-06-32-17	0	0	0	2	0
2016-06-32-18	0	0	0	2	0
2016-06-32-19	0	0	0	2	0
2016-06-32-2	0	0	0	12	0
2016-06-32-20	0	0	0	2	0
2016-06-32-3	0	0	0	12	0
2016-06-32-4	0	0	0	12	0
2016-06-33-1	0	0	0	3	0
2016-06-33-10	0	0	0	13	0
2016-06-33-11	0	0	0	2	0
2016-06-33-12	0	0	0	2	0
2016-06-33-2	0	0	0	13	0
2016-06-33-3	0	0	0	13	0
2016-06-33-4	0	0	0	13	0
2016-06-33-5	0	0	0	13	0
2016-06-33-6	0	0	0	13	0
2016-06-33-7	0	0	0	13	0
2016-06-33-8	0	0	0	13	0
2016-06-33-9	0	0	0	13	0
2016-06-34-1	0	0	0	3	0
2016-06-34-10	0	0	0	13	0
2016-06-34-11	0	0	0	2	0
2016-06-34-12	0	0	0	2	0
2016-06-34-2	0	0	0	13	0
